entry_id,date,account_debit,account_credit,amount,posting_user,description,flag_reason
JE-1043,2025-12-08,2010 - Accounts Payable,1010 - Cash,18839.26,lpatel,Vendor payment - invoice #71993,"Potential duplicate: same amount ($18,839.26), date (2025-12-08), and accounts"
JE-1025,2025-12-18,5900 - Insurance Expense,1300 - Prepaid Expenses,24904.97,jgarcia,Monthly insurance expense recording,
JE-1027,2025-12-15,5200 - Rent Expense,1010 - Cash,7690.75,abrown,Monthly rent expense recording,
JE-1021,2025-12-29,5700 - Depreciation Expense,1500 - Fixed Assets,6937.17,rjones,Recurring depreciation expense transaction,
JE-1008,2025-12-20,1200 - Accounts Receivable,4100 - Service Revenue,2869.55,tcheng,Payment for accounts receivable,
JE-1019,2025-12-13,2010 - Accounts Payable,1010 - Cash,8209.61,lpatel,Standard accounts payable entry,
JE-1024,2025-12-13,1300 - Prepaid Expenses,1010 - Cash,10842.92,mwilliams,Standard prepaid expenses entry,
JE-1011,2025-12-25,2010 - Accounts Payable,1010 - Cash,2204.1,klee,Payment for accounts payable,
JE-1020,2025-12-24,5300 - Utilities Expense,2010 - Accounts Payable,6989.56,klee,Recurring utilities expense transaction,
JE-1042,2025-12-07,2300 - Deferred Revenue,1400 - Inventory,16088.43,lpatel,Adjustment entry - see supporting memo,Unusual account combination: Deferred Revenue paired with Inventory
JE-1022,2025-12-17,1200 - Accounts Receivable,4100 - Service Revenue,9368.91,abrown,Standard accounts receivable entry,
JE-1017,2025-12-26,5100 - Salaries Expense,1010 - Cash,6111.68,jsmith,Payment for salaries expense,
JE-1039,2025-12-19,4000 - Revenue,1300 - Prepaid Expenses,18890.02,klee,Adjustment entry - see supporting memo,Unusual account combination: Revenue paired with Prepaid Expenses
JE-1047,2025-12-14,5400 - Office Supplies,1010 - Cash,500000.0,tcheng,Special project - office supplies,"Amount ($500,000) exceeds 100x monthly average ($5,000) for Office Supplies"
JE-1003,2025-12-08,5100 - Salaries Expense,1010 - Cash,1230.03,klee,Recurring salaries expense transaction,
JE-1044,2025-12-08,2010 - Accounts Payable,1010 - Cash,18839.26,lpatel,Vendor payment - invoice #71993,"Potential duplicate: same amount ($18,839.26), date (2025-12-08), and accounts"
JE-1041,2025-12-03,1500 - Fixed Assets,4000 - Revenue,45554.74,tcheng,Adjustment entry - see supporting memo,Unusual account combination: Fixed Assets paired with Revenue
JE-1010,2025-12-19,5200 - Rent Expense,1010 - Cash,14025.0,tcheng,Period-end rent expense accrual,
JE-1015,2025-12-06,5900 - Insurance Expense,1300 - Prepaid Expenses,16056.97,klee,Standard insurance expense entry,
JE-1045,2025-12-22,1200 - Accounts Receivable,4100 - Service Revenue,5427.38,mwilliams,Vendor payment - invoice #66498,"Potential duplicate: same amount ($5,427.38), date (2025-12-22), and accounts"
JE-1023,2025-12-05,5200 - Rent Expense,1010 - Cash,19016.66,mwilliams,Period-end rent expense accrual,
JE-1034,2026-01-06,5200 - Rent Expense,1010 - Cash,78348.84,jsmith,Year-end true-up adjustment,Posted after close date (2026-01-03)
